ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,35,-2.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,36,-2.5,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,37,-2.7,-2.52,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,38,-2.52,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,39,-2.7,-2.54,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,40,-2.7,-2.54,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_A,41,-2.7,-2.56,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.9,-1.9,-2,-2,-2.1,-2.1,-2.2,-2.2,-2.3,-2.3,-2.4,-2.4,-2.5,-2.5,-2.4,-2.3,-2.3,-2.4,-2.4,-2.5,-2.5,-2.599999,-2.579999,-2.579999,-2.559999,-2.559999,-2.579999,-2.579999,-2.559999,-2.539999,-2.52,-2.52,-2.539999,-2.52,-2.5,-2.5,-2.52,-2.52,-2.539999,-2.539999,-2.559999,-2.539999
-2.5,-2.3,-2.599999,-2.559999,-2.579999,-2.52,-2.539999,-2.5,-2.559999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.529999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
