ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,26,0.36,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,27,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,28,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,29,0.3,0.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,30,0.36,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,31,0.3,0.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,32,0.34,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,33,0.32,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,34,0.34,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,35,0.36,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,36,0.38,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,37,0.3,0.38,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,38,0.3,0.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,39,0.3,0.36,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,40,0.3,0.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,41,0.3,0.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,42,0.3,0.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_d,43,0.32,0.3,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.42,0.42,0.4,0.4,0.38,0.38,0.36,0.36,0.3399999,0.36,0.36,0.38,0.38,0.36,0.36,0.3399999,0.3399999,0.3199999,0.3399999,0.36,0.38,0.38,0.36,0.36,0.3399999,0.3399999,0.3199999,0.3199999,0.3399999
0.5,0.7,0.4,0.42,0.3399999,0.38,0.3199999,0.38,0.3199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
